"","proj_type","effective_date","ric","isin","instrument_code","instrument_code_split","instrument_type","strike","price","volume","open_interest","net","bid","ask","implied_volatility","delta","gamma","expiration_date","split_factor_first","split_factor_last","relative_split_factor","latest_split_date","new_strike","status_flag","flag_no_price_cboe","root_opening_price","root_maximum_price","root_minimum_price","root_price","root_volume","SP_run_start","volatility_actual","s_actual","mean_log_variation","remaining_time_actual","calls_prices","puts_prices","greek_delta_call","greek_delta_put","greek_gamma_strip","greek_theta_call","greek_theta_put","greek_vega_strip","greek_rho_call","greek_rho_put","probability_strip","implied_volatility_calculation"
"21","Actual_Valuation",20201012,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,69.7,6,0,-3.575,65.5,69.8,0.3737,-0.6432,0.0053,20230120,224,224,1,20200831,180,0,0,120.06,125.18,119.2845,124.4,240226769,20200701,0.427013420262716,124.4,0.00377439251437536,2.33333333333333,19.3427635524229,62.7736511354936,0.447113834092244,-0.552886165907756,0.00487327764092949,-7.9640150366412,-2.92908840914908,75.1415631091253,28.2713276041907,-102.51802643994,0.0169070565111911,1.14644267267153
"22","Actual_Valuation",20201013,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,69.7,0,0,0,69.3,70.85,0.37,-0.6643,0.0054,20230120,224,224,1,20200831,180,0,0,125.27,125.39,119.65,121.1,262330451,20200701,0.440016051320217,121.1,0.00234999301029635,2.32936507936508,18.8096548861078,65.5605235260729,0.440249744685041,-0.559750255314959,0.00485032560128774,-7.92112506565984,-2.88559900646089,72.9063338240854,26.8935499852937,-103.932691715483,0.0167795027670783,1.19104505283157
"23","Actual_Valuation",20201014,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,69.7,0,4,0,68.95,70.55,0.3694,-0.6651,0.0054,20230120,224,224,1,20200831,180,0,0,121,123.03,119.62,121.19,151062308,20200701,0.424147388272169,121.19,0.00388503247538033,2.32539682539683,17.6637633087037,64.3446153844021,0.42842940826873,-0.57157059173127,0.00500740931783146,-7.64303884819234,-2.60691328592138,72.5371580842127,26.7053130194001,-104.15744695386,0.0148214880774516,1.19088812781859
"24","Actual_Valuation",20201015,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,69.7,0,4,0,68.8,70.9,0.3721,-0.6655,0.0054,20230120,224,224,1,20200831,180,0,0,118.72,121.2,118.15,120.71,112559219,20200701,0.418995143419369,120.71,0.00449122334343755,2.32142857142857,17.057434707131,64.2382725976848,0.421675615676106,-0.578324384323894,0.00507692489693151,-7.50873668652873,-2.47201154981212,71.9534385633525,26.3862849907267,-104.512622258082,0.013937847243661,1.19849722515373
"25","Actual_Valuation",20201016,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,69.7,0,4,0,70.6,72.25,0.3769,-0.6703,0.0054,20230120,224,224,1,20200831,180,0,0,121.28,121.548,118.81,119.02,115393808,20200701,0.403373523119956,119.02,0.0053979578987473,2.31746031746032,15.2249805161083,64.1158066009227,0.399979251159557,-0.600020748840443,0.00528607263311962,-7.06338710338729,-2.02606232084286,69.9991413530766,25.2499324047557,-105.684749504948,0.0112769456683798,1.22306742360118
"26","Actual_Valuation",20201019,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,69.7,0,0,0,72.2,76,0.3656,-0.6978,0.0054,20230120,224,224,1,20200831,180,0,0,119.96,120.419,115.66,115.98,120639337,20200701,0.40684769564902,115.98,0.00261051941316305,2.31349206349206,14.2409224078052,66.1917390665688,0.38639934533596,-0.61360065466404,0.00533163441235202,-6.85275103743894,-1.81482653767603,67.5035240156619,23.8445607346442,-107.125521598616,0.0101602639064797,1.26831767410702
"27","Actual_Valuation",20201020,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,71.84,2,0,-1.16,71.5,72.7,0.3671,-0.6884,0.0055,20230120,224,224,1,20200831,180,0,0,116.2,118.98,115.63,117.51,124423728,20200701,0.40593736711581,117.51,0.00248612170932864,2.30952380952381,14.7480321612004,65.1888417738851,0.393396203439679,-0.606603796560321,0.00530553071608818,-6.98063939828113,-1.94211510990058,68.6846928055762,24.555016862338,-106.450090029482,0.0105861452738722,1.28753978583699
"28","Actual_Valuation",20201021,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,71.84,0,0,0,71.7,73.1,0.3631,-0.6965,0.0055,20230120,224,224,1,20200831,180,0,0,116.67,118.705,116.45,116.87,89945980,20200701,0.372560256246109,116.87,0.00435562522810743,2.30555555555556,12.2243759674745,63.3251809143357,0.360038469370621,-0.639961530629379,0.00565896321397263,-6.25981255132409,-1.22068840291826,66.3918964375211,23.2895931044607,-107.750160848273,0.0069067978823274,1.29846635895584
"29","Actual_Valuation",20201022,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,71.84,0,4,0,72.2,75.4,0.3625,-0.7033,0.0055,20230120,224,224,1,20200831,180,0,0,117.45,118.04,114.59,115.75,101987954,20200701,0.374946080183966,115.75,0.00336332503758771,2.3015873015873,11.9561511353962,64.1969537969723,0.35554350761321,-0.64445649238679,0.00565737937976834,-6.20394920447689,-1.16422512462961,65.4114193709668,22.7816078260173,-108.292414052335,0.00670644558906319,1.31704727900897
"30","Actual_Valuation",20201023,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,71.84,0,4,0,72.65,74.1,0.3676,-0.7023,0.0055,20230120,224,224,1,20200831,180,0,0,116.39,116.55,114.28,115.04,82572645,20200701,0.355597810362537,115.04,0.00121420712395274,2.29761904761905,10.4420992968698,63.4129020539829,0.332446980242688,-0.667553019757312,0.00585759182970859,-5.73530724064669,-0.694983157933302,63.3364843178466,21.6958723097117,-109.412036716296,0.00466991349616586,1.32948526000088
"31","Actual_Valuation",20201026,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,114.01,116.55,112.88,115.05,111850657,20200701,0.346136075602786,115.05,3.91287355302607e-05,2.29365079365079,115.05,0,1,0,0,0,0,0,0,0,0.00387579935279869,NA
"32","Actual_Valuation",20201027,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,71.84,0,4,0,71.4,72.75,0.3621,-0.7003,0.0055,20230120,224,224,1,20200831,180,0,0,115.49,117.28,114.5399,116.6,92276772,20200701,0.347910368813007,116.6,0.00108808316540569,2.28968253968254,10.4258270760355,61.8766371678226,0.333203239388859,-0.666796760611141,0.00592247292064876,-5.72586574124764,-0.684341438494033,64.1420489898034,22.1880757879255,-108.986458603676,0.00434950899386677,1.30732195671103
"33","Actual_Valuation",20201028,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,71.84,0,4,0,74.7,78.5,0.3421,-0.7513,0.0056,20230120,224,224,1,20200831,180,0,0,115.05,115.43,111.1,111.2,143937823,20200701,0.381852139086972,111.2,-0.00203102676899021,2.28571428571429,10.7269199446196,67.5977372761106,0.334750163195308,-0.665249836804692,0.00567332469493221,-5.90947183795764,-0.86734731801291,61.2300176605333,20.6855550307728,-110.521714268232,0.0056121131671556,1.39712055319183
"34","Actual_Valuation",20201029,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,72.95,90,44,-1.775,65,75,0.3387,-0.7363,0.0056,20230120,224,224,1,20200831,180,0,0,112.37,116.93,112.2,115.32,146129173,20200701,0.403151856331347,115.32,-0.000633328876013647,2.28174603174603,13.5263312694025,66.2971582225535,0.376669178953774,-0.623330821046226,0.00540705083779294,-6.74088862836258,-1.69816381976805,66.1463200827783,23.3536180651548,-107.885998742194,0.00890318053568173,1.3522980395658
"35","Actual_Valuation",20201030,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,72.95,0,0,0,76.75,78.5,0.3618,-0.7438,0.0055,20230120,224,224,1,20200831,180,0,0,111.06,111.99,107.72,108.86,190573476,20200701,0.435952072343031,108.86,-0.00187510705978218,2.27777777777778,13.1897360631701,72.4405750202206,0.370133969565904,-0.629866030434096,0.00527211316829018,-6.75011648461705,-1.70679131590554,62.0399561326401,21.1637739076841,-110.107801340999,0.00984230050778723,1.46689587374129
"36","Actual_Valuation",20201102,"AAPL.OQ","US0378331005","AAPL230120P00180000","AAPL230120P00180000","P",180,72.95,0,0,0,76.95,78.7,0.374,-0.7325,0.0054,20230120,224,224,1,20200831,180,0,0,109.11,110.68,107.32,108.77,122866899,20200701,0.419989445362966,108.77,-0.00343278559499983,2.27380952380952,12.1480888467167,71.5089421901901,0.355313134798627,-0.644686865201373,0.00540623251956167,-6.43602684019075,-1.39210123988655,61.0809010765531,20.6948578515632,-110.608285098399,0.00809008977766246,1.46992515064285
"37","Actual_Valuation",20201103,"AAPL.OQ","","AAPL230120P00180000","AAPL230120P00180000","P",180,75.91,1,0,-2.365,75.05,76.95,0.3477,-0.7514,0.0055,20230120,1,224,224,20200831,0.8,0,0,109.660004,111.489998,108.730003,110.440002,107624400,20200701,0.413825576912808,110.440002,-0.00121651706310163,2.26984126984127,12.3386501757677,70.0495182884708,0.358474470319281,-0.641525529680719,0.00542535135937663,-6.48365259670278,-1.43912649332168,62.1574942233782,21.2846183968532,-110.049699836174,0.00819011698761574,1.50835356548992
"38","Actual_Valuation",20201104,"AAPL.OQ","","AAPL230120P00180000","AAPL230120P00180000","P",180,75.91,0,0,0,71.25,75.5,0.3404,-0.7335,0.0056,20230120,1,224,224,20200831,0.8,0,0,114.139999,115.589996,112.349998,114.949997,138235500,20200701,0.433868689757456,114.949997,-5.651567862305e-05,2.26587301587302,15.3139650294454,68.5348572944688,0.398960676523599,-0.601039323476401,0.0051426835390833,-7.3121892352986,-2.2670625573479,66.8038676021055,23.8611591682227,-107.503940246373,0.0120639807107501,1.42580890658923
"39","Actual_Valuation",20201105,"AAPL.OQ","","AAPL230120P00180000","AAPL230120P00180000","P",180,75.91,0,45,0,68.4,70.3,0.343,-0.7087,0.0056,20230120,1,224,224,20200831,0.8,0,0,117.949997,119.620003,116.870003,119.029999,126387100,20200701,0.450333685301415,119.029999,0.00173521645064479,2.26190476190476,18.1090116220115,67.2699234227294,0.431792200734641,-0.568207799265359,0.00487609219135964,-8.00386642510423,-2.95813910108269,70.3709666375075,26.0049104196613,-105.390574386587,0.0161443660655646,1.35822694046386
"40","Actual_Valuation",20201106,"AAPL.OQ","","AAPL230120P00180000","AAPL230120P00180000","P",180,75.91,0,45,0,68.8,70.45,0.3483,-0.7054,0.0056,20230120,1,224,224,20200831,0.8,0,0,118.32,119.199997,116.129997,118.690002,114457900,20200701,0.446967986414247,118.690002,0.000729878862820856,2.25793650793651,17.6952213699994,67.2161540900699,0.427253527476724,-0.572746472523276,0.00492109898715434,-7.91536039611356,-2.86903235451145,69.9646263671287,25.7954560948072,-105.630016619603,0.0153551516096208,1.36498665210441
"41","Actual_Valuation",20201109,"AAPL.OQ","","AAPL230120P00180000","AAPL230120P00180000","P",180,75.91,0,45,0,70.35,71.7,0.322,-0.748,0.0057,20230120,1,224,224,20200831,0.8,0,0,120.5,121.989998,116.050003,116.32,154515300,20200701,0.392952484266193,116.32,-0.00335785832599353,2.25396825396825,13.0401468126722,64.951107836037,0.370514041500718,-0.629485958499282,0.00550457518261983,-6.65193777133822,-1.60500894063728,65.9660422349118,23.4872482728527,-107.967813167492,0.00770776960909136,1.40585647715105
"42","Actual_Valuation",20201110,"AAPL.OQ","","AAPL230120P00180000","AAPL230120P00180000","P",180,75.91,0,45,0,70.35,71.9,0.3337,-0.7364,0.0057,20230120,1,224,224,20200831,0.8,0,0,115.550003,117.589996,114.129997,115.970001,138023400,20200701,0.383509297400037,115.970001,-0.00216425524837577,2.25,12.2676864999778,64.5486752108627,0.359705709241171,-0.640294290758829,0.00560625439869924,-6.42822200130011,-1.38069230997356,65.0612702360799,23.0124489100359,-108.471800370096,0.00675606452241373,1.41317152828811
"43","Actual_Valuation",20201111,"AAPL.OQ","","AAPL230120P00180000","AAPL230120P00180000","P",180,75.91,0,0,0,67.75,69.4,0.3448,-0.7049,0.0056,20230120,1,224,224,20200831,0.8,0,0,117.190002,119.629997,116.440002,119.489998,112295000,20200701,0.3992398267593,119.489998,-0.000706344642826812,2.24603174603175,14.6189256236856,63.3999484066001,0.392427561995305,-0.607572438004695,0.00537592542969473,-7.08538679819588,-2.03725617470845,68.828149366317,25.222528423001,-106.290506101658,0.00959255039056606,1.35578093940892
"44","Actual_Valuation",20201112,"AAPL.OQ","","AAPL230120P00180000","AAPL230120P00180000","P",180,75.91,0,0,0,68.15,69.75,0.3472,-0.704,0.0056,20230120,1,224,224,20200831,0.8,0,0,119.620003,120.529999,118.57,119.209999,103162300,20200701,0.399112220731258,119.209999,-0.000625216968584196,2.24206349206349,14.4724960101048,63.5535512498423,0.390440336014087,-0.609559663985913,0.00538735601480383,-7.05978734500567,-2.01105571781354,68.5084241464147,25.0683711187023,-106.473044340905,0.00944658872933679,1.36154352028577
"45","Actual_Valuation",20201113,"AAPL.OQ","","AAPL230120P00180000","AAPL230120P00180000","P",180,75.91,0,0,0,67.65,69.15,0.3379,-0.715,0.0057,20230120,1,224,224,20200831,0.8,0,0,119.440002,119.669998,117.870003,119.260002,81581900,20200701,0.396085757160985,119.260002,0.00010072271241678,2.23809523809524,14.2569535093077,63.3080415909454,0.3877772748346,-0.6122227251654,0.00542043928098583,-7.0071348267814,-1.95780212433227,68.3426630485606,25.0062028442544,-106.563187521179,0.00915881623437798,1.36198841341258
"46","Actual_Valuation",20201116,"AAPL.OQ","","AAPL230120P00180000","AAPL230120P00180000","P",180,75.91,0,45,0,66.7,68.3,0.3426,-0.7037,0.0057,20230120,1,224,224,20200831,0.8,0,0,118.919998,120.989998,118.150002,120.300003,91183000,20200701,0.385433123207618,120.300003,0.0018285442734997,2.23412698412698,13.9008536711198,61.931978980019,0.383968158659877,-0.616031841340123,0.00551105280852779,-6.89297293471778,-1.84303908545081,68.6788061467198,25.2438977406298,-106.353059776733,0.00846937883052967,1.34658728766156
"47","Actual_Valuation",20201117,"AAPL.OQ","","AAPL230120P00180000","AAPL230120P00180000","P",180,0,0,45,0,0,0,0,0,0,20230120,1,224,224,20200831,0.8,0,0,119.550003,120.669998,118.959999,119.389999,74271000,20200701,0.384454002666117,119.389999,0.000793600031776804,2.23015873015873,13.4603403290567,62.4215102508626,0.377710173709786,-0.622289826290214,0.00554446342437328,-6.78959038380267,-1.7390553161485,67.7603408010524,24.7331816122933,-106.890933573073,0.00794295795961164,0.0559633399551853
